NHHINC,HFIN_YN,HPRES_MORT,HDIV_YN,NHUNDER18,HINT_YN,NRPP
0.097560976,2,2,2,0,0,0.846740051
0.317073171,2,1,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
1,2,1,2,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0.243902439,2,0,1,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.268292683,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.268292683,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.658536585,2,0,2,0.2,2,0.846740051
0.268292683,2,2,2,0.3,3,0.846740051
0.756097561,2,1,2,0.1,1,0.846740051
0.170731707,1,1,2,0.1,1,0.846740051
0.365853659,2,0,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.146341463,2,2,2,0,0,0.846740051
0.536585366,2,1,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.87804878,2,1,2,0,0,0.846740051
0.56097561,2,1,2,0,0,0.846740051
0.512195122,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
1,2,1,1,0,0,0.846740051
0.390243902,2,2,1,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.268292683,2,2,2,0,0,0.846740051
0.707317073,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.024390244,2,2,2,0,0,0.846740051
0.219512195,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
