SARPP Regional Price Parities by state,,,,,,,
(Index) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,FIPS,RPP:all
39000,Ohio,3,  RPPs: Services: Rents,72,,,
39000,Ohio,4,  RPPs: Services: Other,91.2,,,
40000,Oklahoma,1,RPPs: All items,88.4,,,
40000,Oklahoma,2,  RPPs: Goods,95.6,,,
40000,Oklahoma,3,  RPPs: Services: Rents,70.1,,,
40000,Oklahoma,4,  RPPs: Services: Other,92.5,,,
41000,Oregon,1,RPPs: All items,101.1,,,
41000,Oregon,2,  RPPs: Goods,100.4,,,
41000,Oregon,3,  RPPs: Services: Rents,107.8,,,
41000,Oregon,4,  RPPs: Services: Other,97.8,,,
42000,Pennsylvania,1,RPPs: All items,97.5,,,
42000,Pennsylvania,2,  RPPs: Goods,99.7,,,
42000,Pennsylvania,3,  RPPs: Services: Rents,87.3,,,
42000,Pennsylvania,4,  RPPs: Services: Other,101.3,,,
44000,Rhode Island,1,RPPs: All items,99.3,,,
44000,Rhode Island,2,  RPPs: Goods,98.9,,,
44000,Rhode Island,3,  RPPs: Services: Rents,95.6,,,
44000,Rhode Island,4,  RPPs: Services: Other,102.3,,,
45000,South Carolina,1,RPPs: All items,91.1,,,
45000,South Carolina,2,  RPPs: Goods,96.6,,,
45000,South Carolina,3,  RPPs: Services: Rents,76.7,,,
45000,South Carolina,4,  RPPs: Services: Other,94.5,,,
46000,South Dakota,1,RPPs: All items,87.9,,,
46000,South Dakota,2,  RPPs: Goods,94.8,,,
46000,South Dakota,3,  RPPs: Services: Rents,69.9,,,
46000,South Dakota,4,  RPPs: Services: Other,91.1,,,
47000,Tennessee,1,RPPs: All items,89.9,,,
47000,Tennessee,2,  RPPs: Goods,96.2,,,
47000,Tennessee,3,  RPPs: Services: Rents,75.1,,,
47000,Tennessee,4,  RPPs: Services: Other,91.7,,,
48000,Texas,1,RPPs: All items,96.8,,,
48000,Texas,2,  RPPs: Goods,96.9,,,
48000,Texas,3,  RPPs: Services: Rents,94.5,,,
48000,Texas,4,  RPPs: Services: Other,98.2,,,
49000,Utah,1,RPPs: All items,96.6,,,
49000,Utah,2,  RPPs: Goods,95.1,,,
49000,Utah,3,  RPPs: Services: Rents,96.1,,,
49000,Utah,4,  RPPs: Services: Other,99,,,
50000,Vermont,1,RPPs: All items,103,,,
50000,Vermont,2,  RPPs: Goods,98.9,,,
50000,Vermont,3,  RPPs: Services: Rents,112.5,,,
50000,Vermont,4,  RPPs: Services: Other,102.3,,,
51000,Virginia,1,RPPs: All items,102,,,
51000,Virginia,2,  RPPs: Goods,99.4,,,
51000,Virginia,3,  RPPs: Services: Rents,108.8,,,
51000,Virginia,4,  RPPs: Services: Other,100.8,,,
53000,Washington,1,RPPs: All items,107.8,,,
53000,Washington,2,  RPPs: Goods,104.8,,,
53000,Washington,3,  RPPs: Services: Rents,123.8,,,
53000,Washington,4,  RPPs: Services: Other,102.2,,,
54000,West Virginia,1,RPPs: All items,87.8,,,
54000,West Virginia,2,  RPPs: Goods,94.8,,,
54000,West Virginia,3,  RPPs: Services: Rents,62.9,,,
54000,West Virginia,4,  RPPs: Services: Other,96.1,,,
55000,Wisconsin,1,RPPs: All items,91.9,,,
55000,Wisconsin,2,  RPPs: Goods,96.2,,,
55000,Wisconsin,3,  RPPs: Services: Rents,83.7,,,
55000,Wisconsin,4,  RPPs: Services: Other,92.4,,,
56000,Wyoming,1,RPPs: All items,92.7,,,
56000,Wyoming,2,  RPPs: Goods,97.7,,,
56000,Wyoming,3,  RPPs: Services: Rents,80.7,,,
56000,Wyoming,4,  RPPs: Services: Other,94.9,,,
Legend / Footnotes:,,,,,,,
"Last updated: May 18, 2020-- new statistics for 2018; revised statistics for 2016-2017.",,,,,,,
