HHINC,FINC_FIN,HPRES_MORT,HDIV_YN,FOWNU18,HINT_YN,RPP
29,2,1,1,0,1,91.8
0,2,0,0,0,0,91.1
41,2,0,2,0,1,91.1
3,2,2,2,1,2,91.1
41,2,2,2,0,1,91.1
0,2,0,0,0,0,91.1
31,2,2,2,0,1,91.1
17,2,2,2,0,2,91.1
0,2,0,0,0,0,91.1
41,2,0,2,0,1,91.1
41,2,1,1,0,1,91.1
41,2,2,2,0,1,91.1
17,2,2,2,0,1,91.1
0,2,0,0,3,0,91.1
0,2,0,0,0,0,91.1
11,2,2,2,0,2,91.1
41,2,1,2,1,1,91.1
31,2,1,2,0,1,93
17,2,0,2,0,2,93
7,2,2,2,0,2,93
7,2,0,2,0,2,93
0,2,0,0,0,0,93
41,2,1,2,0,1,93
0,2,0,0,0,0,93
35,2,2,2,1,1,93
41,2,2,1,1,1,93
0,2,0,0,1,0,93
17,2,0,2,0,2,93
0,2,0,0,0,0,93
39,1,2,2,0,1,93
11,2,0,2,0,1,93
0,2,0,0,0,0,93
7,2,1,2,1,2,93
23,2,0,2,0,2,93
41,2,1,2,0,1,93
0,2,0,0,2,0,93
29,2,1,2,0,1,93
27,2,0,2,0,1,93
0,2,0,0,0,0,93
26,2,1,2,0,1,93
0,2,0,0,0,0,100.6
9,2,2,2,0,2,100.6
34,2,0,2,0,1,100.6
0,2,0,0,4,0,100.6
6,2,2,2,0,1,100.6
20,2,2,2,0,1,100.6
0,2,0,0,0,0,100.6
38,2,0,2,3,2,100.6
11,2,1,2,0,2,100.6
12,2,2,1,0,2,100.6
41,2,0,1,0,1,100.6
9,2,0,2,0,2,100.6
41,2,1,2,0,1,100.6
10,2,0,2,0,2,100.6
13,2,0,2,0,1,100.6
36,2,2,2,0,1,100.6
26,2,0,2,1,1,100.6
28,2,1,2,0,2,100.6
22,2,2,2,0,2,100.6
4,2,1,2,0,2,100.6
0,2,0,0,0,0,100.6
0,2,0,0,0,0,100.6
17,2,1,2,0,2,100.6
26,2,2,2,0,1,100.6
8,2,2,2,0,1,100.6
41,2,2,1,0,1,100.6
11,2,2,1,0,1,100.6
0,2,0,0,0,0,100.6
0,2,0,0,0,0,100.6
0,2,0,0,0,0,100.6
7,2,1,2,0,2,100.6
17,2,0,2,1,2,100.6
0,2,0,0,0,0,100.6
0,2,0,0,2,0,100.6
0,2,0,0,0,0,100.6
6,2,1,2,0,1,100.6
26,2,0,2,0,2,100.6
41,2,0,2,0,1,100.6
40,2,1,1,0,1,100.6
41,2,0,1,3,1,100.6
20,2,2,2,0,2,100.6
1,2,0,2,1,2,100.6
0,2,0,0,5,0,100.6
41,2,2,2,0,1,100.6
7,1,1,2,0,2,100.6
0,2,0,0,0,0,100.6
33,2,1,2,1,1,100.6
0,2,0,0,2,0,100.6
41,2,2,2,0,2,100.6
38,2,1,1,2,1,100.6
0,2,0,0,2,0,87.8
41,2,1,2,0,1,87.8
4,2,2,2,0,2,87.8
0,2,0,0,0,0,87.8
0,2,0,0,0,0,87.8
35,2,1,2,2,1,87.8
0,2,0,0,0,0,87.8
0,2,0,0,0,0,87.8
41,2,1,2,3,1,87.8
23,2,0,2,0,2,87.8
27,2,1,2,0,1,87.8
0,2,0,0,0,0,87.8
0,2,0,0,0,0,89.9
0,2,0,0,0,0,89.9
25,2,2,2,0,1,89.9
0,2,0,0,0,0,89.9
37,2,2,2,0,1,89.9
0,2,0,0,1,0,89.9
38,2,1,2,4,1,89.9
1,2,0,2,0,2,89.9
0,2,0,0,0,0,89.9
40,2,1,1,2,1,89.9
41,2,1,1,0,1,89.9
11,2,1,1,0,1,89.9
33,2,2,2,0,1,89.9
0,2,0,0,0,0,89.9
11,2,0,2,0,2,89.9
18,2,1,2,0,1,89.9
41,2,1,1,1,1,89.9
10,2,2,2,3,1,89.9
0,2,0,0,0,0,89.9
33,2,2,2,0,1,89.9
41,2,2,2,0,2,86.4
26,2,1,2,0,1,86.4
16,2,1,2,1,1,86.4
41,2,0,2,0,1,86.4
0,2,0,0,0,0,86.4
0,2,0,0,1,0,86.4
